date,open,high,low,close,volume
2023-07-17,51.0796316140185,51.60017557884367,50.388727281010446,50.69158935546875,9583100
2023-07-24,51.24434895253971,52.20690625195394,50.062591872901955,50.13883590698242,14969400
2023-07-31,50.07212559363137,51.9972438817516,49.60513996063286,50.7392463684082,15484800
2023-08-07,51.01561730650792,55.96183782600147,51.01561730650792,54.170143127441406,20057600
2023-08-14,53.86517283515986,54.28450407866584,51.77804166776727,52.349857330322266,12659400
2023-08-21,52.492816785365456,54.951628671295694,52.492816785365456,53.56973648071289,15514900
2023-08-28,53.71269865055857,66.97885654211049,51.10139838683074,64.98703002929688,53653200
2023-09-04,64.85360496741858,67.56020294459114,64.36755830184424,67.18852233886719,30250700
2023-09-11,67.77940658228019,69.39955253129142,65.42542443195173,66.03536224365234,26243500
2023-09-18,65.76850816020665,67.2742878780486,64.84406922056878,66.75965881347656,18880600
2023-09-25,66.89307342150134,67.64596681667595,64.07210990535819,65.66366577148438,22130100
2023-10-02,65.38728632908735,66.07346801625533,61.29879316890348,63.290626525878906,29691100
2023-10-09,63.12863080555888,67.44585045698462,62.89990591086325,64.84408569335938,28075700
2023-10-16,64.69156977613041,65.45399545877585,62.280408915982214,62.814109802246094,22409900
2023-10-23,62.72785753138893,64.730935869247,61.24232817215616,63.21664810180664,21284000
2023-10-30,63.20706271089894,67.14612379264851,62.99621889944659,66.61900329589844,17935200
2023-11-06,66.85860695809659,70.72099365786251,66.85860695809659,70.44305419921875,21649600
2023-11-13,69.82009551900767,71.36313462339885,68.82334926255072,70.53890228271484,21770300
2023-11-20,70.81683172154479,72.24485890865571,69.8775951117433,71.3152084350586,12196000
2023-11-27,71.228951245429,72.92533183088707,65.65101157625115,68.9383544921875,37121800
2023-12-04,67.92244241621138,68.10453513778768,64.70218787789693,65.84268951416016,26145500
2023-12-11,65.73725808627941,69.95425839725537,65.6414186657734,68.64124298095703,24839700
2023-12-18,68.64124558780534,72.98283657911558,68.09495282688708,72.5611343383789,20457000
2023-12-25,72.82948490126694,74.22876091479031,72.71448052146555,73.31827545166016,8891300
2024-01-01,72.3119434913446,73.92207062251798,71.22894414290741,72.68572235107422,13129800
2024-01-08,74.75589265169326,76.9314775923186,73.85498596448691,76.01140594482422,23323600
2024-01-15,75.71430573337197,81.23474323675715,73.70164843578692,79.73004150390625,21802000
2024-01-22,80.61569466788663,81.86719516658883,77.53508822534369,81.07778930664062,16210100
2024-01-29,81.23183457190457,83.65781912801035,78.76734885309585,83.09945678710938,16549600
2024-02-05,83.30161451912527,83.6289331348345,79.0946613949157,82.98392486572266,15491700
2024-02-12,83.27272299807213,83.6481716818133,79.34494424305427,81.06816101074219,17745000
2024-02-19,80.75048601460821,89.22216635113234,77.48696542249014,86.97909545898438,21753000
2024-02-26,89.16441850766545,126.17024536159722,87.34493360634303,119.94163513183594,96459300
2024-03-04,119.32549534524159,124.2352232157463,109.64083038835275,111.91278076171875,70083800
2024-03-11,111.17152435327533,113.87668284770564,101.08252266857112,103.00790405273438,36898300
2024-03-18,102.99827266707014,111.45069556961137,100.75520898927796,108.05239868164062,41365100
2024-03-25,107.11857047203354,112.4903853134709,106.1943884581431,109.85261535644531,22070900
2024-04-01,109.9873924860122,131.07994541515345,109.9873924860122,127.7682876586914,63266300
2024-04-08,127.98971271166992,128.46143639528628,113.22204238935295,113.36644744873047,40442600
2024-04-15,114.56016810570448,119.05593092324824,110.0355257486715,110.58425903320312,34200500
2024-04-22,111.13996827938543,122.30228978198689,110.41514239930248,120.86229705810547,28648000
2024-04-29,120.99758954061963,123.44267487956363,113.48839714871885,120.90094757080078,25460300
2024-05-06,120.80432158037699,130.08209937639845,120.07949565089473,128.3135223388672,24406100
2024-05-13,128.82571392651803,145.77696753207894,124.28347500342768,144.50128173828125,44569100
2024-05-20,145.8349560677374,161.17228118096924,139.16656410311123,154.803466796875,56367800
2024-05-27,162.7765356906233,173.66825529201884,126.61256292826961,134.87557983398438,152609500
2024-06-03,135.83237735752803,136.01600227933216,123.30737924802364,125.60749816894531,115442900
2024-06-10,124.67005134156503,131.61871780293012,124.09018473900267,130.44932556152344,63660900
2024-06-17,132.52717531588598,156.09851353488887,132.43052596168667,140.1909942626953,117133400
2024-06-24,138.499747060494,138.7413557225203,130.5556530733396,133.281005859375,65163800
