date,open,high,low,close,volume
2025-01-03 12:00:00+00:00,3.65,3.65,3.65,3.65,100.0
2025-01-03 13:00:00+00:00,3.66,3.66,3.66,3.66,280.0
2025-01-03 13:05:00+00:00,3.65,3.65,3.65,3.65,1160.0
2025-01-03 13:10:00+00:00,3.65,3.65,3.65,3.65,620.0
2025-01-03 14:25:00+00:00,3.65,3.65,3.65,3.65,190.0
2025-01-03 14:30:00+00:00,3.55,3.7,3.54,3.7,23308.0
2025-01-03 14:35:00+00:00,3.72,3.75,3.68,3.68,5115.0
2025-01-03 14:40:00+00:00,3.65,3.66,3.5703,3.625,2738.0
2025-01-03 14:45:00+00:00,3.63,3.65,3.63,3.6486,1339.0
2025-01-03 14:50:00+00:00,3.65,3.66,3.58,3.58,6410.0
2025-01-03 14:55:00+00:00,3.548,3.548,3.548,3.548,542.0
2025-01-03 15:00:00+00:00,3.55,3.5501,3.51,3.51,28407.0
2025-01-03 15:05:00+00:00,3.5119,3.6,3.5119,3.56,8906.0
2025-01-03 15:10:00+00:00,3.5869,3.5869,3.5869,3.5869,199.0
2025-01-03 15:15:00+00:00,3.56,3.56,3.53,3.55,1008.0
2025-01-03 15:20:00+00:00,3.51,3.5358,3.5,3.5358,3867.0
2025-01-03 15:25:00+00:00,3.54,3.5625,3.54,3.5625,375.0
2025-01-03 15:35:00+00:00,3.58,3.6378,3.58,3.6378,1385.0
2025-01-03 15:40:00+00:00,3.6,3.6,3.59,3.59,439.0
2025-01-03 15:45:00+00:00,3.591,3.6,3.591,3.6,3914.0
2025-01-03 15:50:00+00:00,3.63,3.63,3.6,3.6,555.0
2025-01-03 16:00:00+00:00,3.58,3.585,3.58,3.585,915.0
2025-01-03 16:05:00+00:00,3.59,3.6,3.59,3.6,2106.0
2025-01-03 16:10:00+00:00,3.55,3.6,3.55,3.57,3852.0
2025-01-03 16:15:00+00:00,3.6,3.6,3.6,3.6,100.0
2025-01-03 16:20:00+00:00,3.59,3.5996,3.59,3.5996,1195.0
2025-01-03 16:25:00+00:00,3.5959,3.5959,3.5959,3.5959,1000.0
