ticker,setup_date,close,volume,vol_sma_20
GS,2025-08-12,728.710693359375,2418100,1992570.0
IDWM,2025-08-07,48.0,100,20.0
ORCL,2025-07-31,250.9102020263672,15548700,11525055.0
NKE,2025-07-28,77.12364959716797,22631100,15534455.0
ORCL,2025-07-17,245.94677734375,17631300,15813410.0
CRCL,2025-07-16,233.1999969482422,43669500,38760905.0
SMR,2025-07-15,42.97999954223633,14511500,12666100.0
OUST,2025-07-15,28.299999237060547,6108700,3887760.0
RKLB,2025-07-14,43.209999084472656,29196200,25937845.0
BA,2025-07-14,230.50999450683594,8750200,8242950.0
OKLO,2025-07-14,62.40999984741211,25911800,18061570.0
SMR,2025-07-14,42.119998931884766,22373600,12431500.0
UMAC,2025-07-11,12.119999885559082,26639100,5685175.0
OSS,2025-07-10,4.400000095367432,719600,614205.0
CRDO,2025-07-09,97.58999633789062,6828300,5874605.0
JOBY,2025-06-30,10.550000190734863,69429000,30762625.0
SNOW,2025-06-24,223.13999938964844,7206500,4689150.0
CAT,2025-06-23,361.63800048828125,2927400,2375685.0
AEVA,2025-06-17,25.81999969482422,2278000,2007325.0
OKLO,2025-06-11,68.02999877929688,55913500,27068335.0
QUBT,2025-06-10,15.130000114440918,66533000,36034715.0
HOOD,2025-06-03,71.72000122070312,43343500,35254595.0
TWLO,2025-06-02,119.5999984741211,3020200,2730655.0
BTC,2025-05-09,45.75,1311100,1183375.0
BTC,2025-05-08,44.88999938964844,1311700,1232430.0
BA,2025-05-08,191.6999969482422,15344100,8699020.0
EOSE,2025-05-07,6.670000076293945,37138600,7571925.0
AEVA,2025-05-06,9.210000038146973,3967200,1244030.0
AEVA,2025-05-05,7.789999961853027,1582500,1104000.0
AEVA,2025-04-15,7.800000190734863,2495300,1928340.0
JPM,2025-02-18,271.704345703125,7919800,7901440.0
CRWD,2025-02-13,113.44249725341797,14725200,13250280.0
OSS,2025-01-21,4.300000190734863,545900,229455.0
OSS,2025-01-17,4.090000152587891,820300,208325.0
MRVL,2025-01-17,124.25177001953125,14869600,11621990.0
FLEX,2025-01-07,41.18000030517578,4634200,2951520.0
