ticker,setup_date,close,volume,vol_sma_20
CRWD,2026-07-14,210.72999572753906,12139500,11092170.0
HOOD,2026-07-02,112.7300033569336,41152400,34344190.0
U,2026-07-01,30.190000534057617,9321300,7701035.0
CRWD,2026-06-30,190.78500366210938,14752000,14453620.0
PANW,2026-06-30,341.0199890136719,9634200,8722165.0
AMD,2026-06-30,580.9099731445312,34488500,31943815.0
PANW,2026-06-29,332.0,10334700,8926180.0
CRWD,2026-06-29,185.7274932861328,19759200,14634080.0
BB,2026-06-26,11.399999618530273,57813400,45008385.0
DDOG,2026-06-26,239.77000427246094,9628000,6049510.0
SNOW,2026-06-26,248.9600067138672,25607000,9275360.0
BB,2026-06-25,10.34000015258789,72343200,43733235.0
PANW,2026-06-18,287.7799987792969,12194700,9193505.0
CAT,2026-06-18,985.8200073242188,6175000,2965610.0
AMD,2026-06-15,547.260009765625,33482400,32145030.0
ARM,2026-06-01,408.8500061035156,20741500,13021310.0
DDOG,2026-06-01,277.489990234375,11191000,7387950.0
PANW,2026-05-29,281.69000244140625,14998900,8465035.0
DDOG,2026-05-29,247.35000610351562,9416200,7140790.0
MSFT,2026-05-29,450.239990234375,79654400,34947740.0
CRWD,2026-05-29,182.75,19256800,12922360.0
U,2026-05-28,29.940000534057617,14184200,11530050.0
SMCI,2026-05-26,37.099998474121094,43169000,38913640.0
DELL,2026-05-26,305.0799865722656,10305700,6504915.0
IONQ,2026-05-22,63.63999938964844,52650100,34158490.0
DELL,2026-05-22,295.19000244140625,15291500,6280680.0
ARM,2026-05-21,298.2300109863281,21796600,12366070.0
ARM,2026-05-20,256.7300109863281,18297600,12118945.0
DDOG,2026-05-19,215.14999389648438,7169200,6827725.0
AAPL,2026-05-13,298.8699951171875,52684300,49128770.0
DELL,2026-05-08,260.4599914550781,12168100,6502445.0
RKLB,2026-05-08,105.47000122070312,79927300,24767535.0
CRWD,2026-05-08,131.9425048828125,16164800,11423500.0
PANW,2026-05-08,207.8800048828125,11641800,6709580.0
CRWD,2026-05-07,126.43000030517578,20458000,12403060.0
PANW,2026-05-07,196.52999877929688,10556600,6907125.0
DELL,2026-05-06,238.8000030517578,9187200,6090655.0
IONQ,2026-05-06,52.56999969482422,58397500,37330755.0
U,2026-05-04,27.719999313354492,10808100,10393310.0
DDOG,2026-05-01,140.52999877929688,6247800,4811175.0
AAPL,2026-05-01,279.88214111328125,79915400,45805255.0
NVDA,2026-04-27,216.3578338623047,187172400,150606530.0
NVDA,2026-04-24,208.0275421142578,214134400,151058545.0
AMZN,2026-04-24,263.989990234375,53777400,46445635.0
ARM,2026-04-23,204.61000061035156,16854100,8131455.0
ARM,2026-04-22,196.57000732421875,13932300,8767745.0
DELL,2026-04-21,212.36000061035156,9078200,8345730.0
RKLB,2026-04-17,84.80000305175781,26066300,25420315.0
AMD,2026-04-16,278.260009765625,64850800,35633320.0
DELL,2026-04-16,192.494384765625,11474700,9297095.0
NVDA,2026-04-15,198.63848876953125,185338400,165627160.0
NFLX,2026-04-15,107.70999908447266,38023700,36962645.0
NFLX,2026-04-14,106.27999877929688,40534900,36383185.0
DELL,2026-04-13,189.20457458496094,10506700,9023870.0
