Price,Close,High,Low,Open,Volume
Ticker,JOBY,JOBY,JOBY,JOBY,JOBY
Date,,,,,
2024-01-08,5.889999866485596,6.420000076293945,5.849999904632568,6.159999847412109,17059200
2024-01-15,5.630000114440918,5.880000114440918,5.425000190734863,5.800000190734863,17297600
2024-01-22,5.630000114440918,6.269999980926514,5.610000133514404,5.789999961853027,22961400
2024-01-29,5.71999979019165,6.190000057220459,5.449999809265137,5.630000114440918,23774800
2024-02-05,5.929999828338623,6.0,5.429999828338623,5.599999904632568,19865700
2024-02-12,6.199999809265137,6.519999980926514,5.849999904632568,6.480000019073486,35048900
2024-02-19,5.420000076293945,6.480000019073486,5.409999847412109,6.199999809265137,28445400
2024-02-26,5.46999979019165,5.889999866485596,5.349999904632568,5.449999809265137,25585100
2024-03-04,5.409999847412109,5.59499979019165,5.119999885559082,5.550000190734863,24001200
2024-03-11,5.079999923706055,5.59499979019165,5.039999961853027,5.409999847412109,34759100
2024-03-18,5.21999979019165,5.400000095367432,4.960000038146973,5.130000114440918,24888200
2024-03-25,5.360000133514404,5.440000057220459,5.199999809265137,5.21999979019165,17635100
2024-04-01,4.920000076293945,5.389999866485596,4.821000099182129,5.389999866485596,22468100
2024-04-08,4.619999885559082,5.0,4.579999923706055,4.960000038146973,18895100
2024-04-15,4.539999961853027,4.760000228881836,4.53000020980835,4.650000095367432,18573800
2024-04-22,5.349999904632568,5.369999885559082,4.5,4.550000190734863,25873300
2024-04-29,5.380000114440918,5.570000171661377,4.989999771118164,5.349999904632568,21747000
2024-05-06,5.059999942779541,5.590000152587891,4.849999904632568,5.440000057220459,25274300
2024-05-13,5.039999961853027,5.519999980926514,4.989999771118164,5.114999771118164,23049700
2024-05-20,4.909999847412109,5.179999828338623,4.760000228881836,5.03000020980835,21539100
2024-05-27,4.869999885559082,5.014999866485596,4.670000076293945,4.960000038146973,15605200
2024-06-03,4.989999771118164,5.244999885559082,4.820000171661377,4.960000038146973,18962900
2024-06-10,4.880000114440918,5.429999828338623,4.840000152587891,4.949999809265137,20320400
2024-06-17,5.190000057220459,5.199999809265137,4.769999980926514,4.909999847412109,23349800
2024-06-24,5.099999904632568,5.349999904632568,4.789999961853027,5.110000133514404,54426700
2024-07-01,5.159999847412109,5.315000057220459,4.78000020980835,5.099999904632568,29601200
2024-07-08,6.610000133514404,6.659999847412109,5.065000057220459,5.119999885559082,47108900
2024-07-15,6.53000020980835,7.690000057220459,6.340000152587891,6.820000171661377,57330900
2024-07-22,6.300000190734863,6.909999847412109,6.050000190734863,6.570000171661377,36441600
2024-07-29,5.050000190734863,6.53000020980835,5.03000020980835,6.400000095367432,33579900
2024-08-05,5.019999980926514,5.349999904632568,4.659999847412109,4.710000038146973,35921300
2024-08-12,5.150000095367432,5.340000152587891,4.929999828338623,5.070000171661377,22941300
2024-08-19,5.110000133514404,5.300000190734863,4.96999979019165,5.190000057220459,20381600
2024-08-26,5.0,5.320000171661377,4.940000057220459,5.159999847412109,26397200
2024-09-02,4.769999980926514,5.070000171661377,4.699999809265137,5.010000228881836,21337300
2024-09-09,5.429999828338623,5.480000019073486,4.800000190734863,4.800000190734863,23965200
2024-09-16,5.159999847412109,5.5,5.099999904632568,5.400000095367432,28692600
2024-09-23,5.21999979019165,5.409999847412109,5.0,5.179999828338623,25118100
2024-09-30,5.949999809265137,6.320000171661377,4.78000020980835,5.199999809265137,124896500
2024-10-07,5.690000057220459,6.199999809265137,5.349999904632568,5.949999809265137,40925500
2024-10-14,5.610000133514404,5.760000228881836,5.360000133514404,5.679999828338623,29361200
2024-10-21,5.159999847412109,6.590000152587891,5.070000171661377,5.599999904632568,151858700
2024-10-28,4.869999885559082,5.369999885559082,4.800000190734863,5.269999980926514,86142300
2024-11-04,5.210000038146973,5.300000190734863,4.869999885559082,4.909999847412109,74556600
2024-11-11,5.730000019073486,6.400000095367432,5.340000152587891,5.380000114440918,111272400
2024-11-18,7.090000152587891,7.289999961853027,5.420000076293945,5.639999866485596,103519000
2024-11-25,8.949999809265137,9.329999923706055,7.230000019073486,7.329999923706055,106472700
2024-12-02,8.84000015258789,9.319999694824219,7.440000057220459,9.300000190734863,109470300
2024-12-09,7.78000020980835,9.140000343322754,7.570000171661377,9.0,84020600
2024-12-16,7.690000057220459,9.079999923706055,7.039999961853027,7.849999904632568,124041600
2024-12-23,8.930000305175781,9.289999961853027,7.429999828338623,7.730000019073486,70635600
2024-12-30,9.770000457763672,9.819999694824219,7.829999923706055,8.6850004196167,69074500
2025-01-06,8.739999771118164,10.720000267028809,8.635000228881836,9.789999961853027,84251100
2025-01-13,8.170000076293945,8.680000305175781,7.730000019073486,8.34000015258789,66768700
2025-01-20,8.760000228881836,9.289999961853027,8.270000457763672,8.359999656677246,46010700
2025-01-27,8.260000228881836,8.770000457763672,8.085000038146973,8.5,46231200
2025-02-03,7.78000020980835,8.359999656677246,7.679999828338623,7.920000076293945,47847700
2025-02-10,7.829999923706055,8.114999771118164,7.210000038146973,7.789999961853027,65993800
2025-02-17,6.980000019073486,8.350000381469727,6.960000038146973,7.900000095367432,56164100
2025-02-24,7.0,7.199999809265137,6.369999885559082,6.989999771118164,82773400
2025-03-03,6.619999885559082,7.166999816894531,6.230000019073486,7.050000190734863,55434900
2025-03-10,6.239999771118164,6.3979997634887695,5.880000114440918,6.369999885559082,55170500
2025-03-17,6.639999866485596,6.675000190734863,6.110000133514404,6.289999961853027,55484700
2025-03-24,6.110000133514404,6.855999946594238,6.050000190734863,6.71999979019165,42768700
2025-03-31,5.360000133514404,6.159999847412109,5.019999980926514,5.934999942779541,64239200
2025-04-07,5.929999828338623,6.38100004196167,4.960000038146973,5.0,80726800
2025-04-14,5.889999866485596,6.15500020980835,5.639999866485596,6.099999904632568,44724000
2025-04-21,6.5,6.565000057220459,5.610000133514404,5.775000095367432,57231100
2025-04-28,6.710000038146973,6.860000133514404,6.139999866485596,6.53000020980835,53521400
2025-05-05,6.78000020980835,7.11899995803833,6.179999828338623,6.599999904632568,52727000
2025-05-12,7.389999866485596,7.559999942779541,6.784999847412109,7.130000114440918,73356200
2025-05-19,6.630000114440918,7.099999904632568,6.420000076293945,7.050000190734863,49474900
2025-05-26,7.820000171661377,9.180000305175781,6.71999979019165,6.789999961853027,179557200
2025-06-02,8.119999885559082,8.734999656677246,7.335000038146973,7.699999809265137,137429300
2025-06-09,8.600000381469727,10.279999732971191,8.449999809265137,8.970000267028809,194257600
2025-06-16,8.539999961853027,9.229999542236328,8.489999771118164,8.869999885559082,84048500
2025-06-23,9.4399995803833,9.789999961853027,8.119999885559082,8.4399995803833,130088100
2025-06-30,10.550000190734863,11.15999984741211,9.5600004196167,10.029999732971191,153661700
2025-07-07,12.039999961853027,12.585000038146973,10.170000076293945,10.475000381469727,136749200
2025-07-14,17.780000686645508,18.329999923706055,11.75,12.020000457763672,298214100
2025-07-21,18.100000381469727,18.549999237060547,15.510000228881836,17.8799991607666,210465300
2025-07-28,17.15999984741211,18.510000228881836,16.3700008392334,18.3700008392334,156084700
2025-08-04,16.639999389648438,20.950000762939453,16.299999237060547,18.3799991607666,232899800
2025-08-11,16.6299991607666,18.889999389648438,16.520000457763672,16.850000381469727,113589500
2025-08-18,14.949999809265137,16.760000228881836,14.100000381469727,16.700000762939453,148448700
2025-08-25,14.149999618530273,15.510000228881836,13.65999984741211,14.75,137750100
2025-09-01,13.460000038146973,13.739999771118164,12.699999809265137,13.270000457763672,132735800
2025-09-08,14.0,15.229999542236328,13.154999732971191,13.6850004196167,186226900
2025-09-15,16.579999923706055,16.65999984741211,13.529999732971191,14.545000076293945,273088300
2025-09-22,16.110000610351562,17.18000030517578,14.90999984741211,16.079999923706055,207014200
2025-09-29,18.260000228881836,18.59000015258789,15.329999923706055,16.719999313354492,173963600
2025-10-06,16.280000686645508,19.979999542236328,16.200000762939453,18.614999771118164,266798500
2025-10-13,15.65999984741211,18.770000457763672,15.229999542236328,16.700000762939453,341961000
2025-10-20,16.1299991607666,17.5,14.899999618530273,16.329999923706055,258878100
2025-10-27,17.34000015258789,17.5049991607666,15.59000015258789,16.600000381469727,222356200
2025-11-03,14.899999618530273,16.979999542236328,13.229999542236328,16.969999313354492,207609000
2025-11-10,14.40999984741211,17.100000381469727,14.130000114440918,15.619999885559082,154237400
2025-11-17,13.069999694824219,14.631999969482422,12.140000343322754,14.300000190734863,114903600
2025-11-24,14.430000305175781,14.505000114440918,13.109999656677246,13.34000015258789,50636200
2025-12-01,15.260000228881836,15.869999885559082,13.279999732971191,13.65999984741211,90016800
2025-12-08,14.850000381469727,15.979999542236328,14.5,15.390000343322754,74220700
2025-12-15,14.220000267028809,15.079999923706055,13.180000305175781,14.979999542236328,90938700
2025-12-22,13.880000114440918,15.399999618530273,13.744999885559082,14.5600004196167,53822000
2025-12-29,14.359999656677246,14.395000457763672,12.989999771118164,13.600000381469727,72012100
2026-01-05,15.390000343322754,16.584999084472656,14.449999809265137,14.609999656677246,160245500
2026-01-12,15.430000305175781,16.010000228881836,14.149999618530273,15.279999732971191,123246000
2026-01-19,13.930000305175781,15.73799991607666,13.729999542236328,14.920000076293945,86186200
2026-01-26,10.569999694824219,13.9399995803833,10.489999771118164,13.90999984741211,250410800
2026-02-02,10.380000114440918,10.975000381469727,9.8100004196167,10.65999984741211,121114200
