Price,Close,High,Low,Open,Volume
Ticker,CAT,CAT,CAT,CAT,CAT
Date,,,,,
2024-03-05,323.50555419921875,328.80144232941024,321.76934543699144,325.33876332141233,2030000
2024-03-06,325.5424499511719,327.57933915030526,324.11663047181395,326.14381075464786,1542300
2024-03-07,329.9944763183594,332.0507536565043,328.2582675996847,328.3358797258524,1732500
2024-03-08,328.9954528808594,334.14585542519023,327.93821700644776,331.7888975693822,2307400
2024-03-11,324.90228271484375,328.04489315543856,321.5656715506066,326.87126869835976,1868000
2024-03-12,327.1040344238281,328.2194941451509,322.7392846980194,325.2029517202415,1645900
2024-03-13,331.25543212890625,332.78796100189794,327.2495862427311,327.9770446114614,1818800
2024-03-14,331.6434326171875,336.41554292563245,328.7529873845873,334.19436175829753,2110200
2024-03-15,336.5415954589844,336.8519847579792,330.8965121849705,332.66181802260695,4406000
2024-03-18,341.32342529296875,342.72014758411945,337.4048416649985,337.6182306150452,2528200
2024-03-19,343.2633361816406,343.36033654706404,339.1119751045773,341.03247577868046,2207600
2024-03-20,345.73675537109375,347.41474054050815,337.6765183261832,340.5669342135488,2563900
2024-03-21,353.60296630859375,354.22374499984903,345.9986049428598,346.92006406258025,2616300
2024-03-22,347.3468017578125,354.53409387009634,347.1043156390459,353.6417615292349,2052000
2024-03-25,345.2517395019531,348.08396072536766,344.35937758202795,346.23136327015305,1774800
2024-03-26,345.6785583496094,348.7823632029706,345.30026576040734,345.74643197300844,1637200
2024-03-27,353.69024658203125,353.8454412499394,347.12373314810264,347.9384829543535,2262800
2024-03-28,355.4167175292969,356.1829818893889,352.60388470407713,353.66112054250596,2028600
2024-04-01,352.8075866699219,356.87165630532576,351.7406714494635,356.4351990606898,1953800
2024-04-02,353.8647766113281,354.0199712560483,350.61548678866615,351.4205275577779,1968900
2024-04-03,364.4954833984375,364.7670666978604,353.6418011387547,354.5050364260648,2623700
2024-04-04,358.67572021484375,369.5778849552751,357.79306732708847,366.02788517388143,2492200
2024-04-05,367.8999328613281,369.54885033287735,360.61566987671,361.3043221758446,2068300
2024-04-08,362.2451477050781,370.5284814310705,361.6825929594477,367.7156189018533,2690000
2024-04-09,360.7223205566406,365.8242376309791,354.5243911620914,363.7582512993446,2042700
2024-04-10,360.8872375488281,361.42069515460906,353.4380712989327,355.19366838021483,2148500
2024-04-11,360.7999267578125,362.1481340748638,355.87259265433715,361.4303846945784,2535700
2024-04-12,354.6407775878906,361.63406846086065,351.77942975258196,357.5603197194794,2072900
2024-04-15,352.9725036621094,363.20540621333043,351.22658581616497,361.76019839225677,2171000
2024-04-16,349.0636291503906,352.5360174138942,346.44476717709597,352.1092394686113,2513900
2024-04-17,347.5505065917969,352.0025481185904,342.2740063525551,351.7503530864553,2313800
2024-04-18,347.1722412109375,352.55545115439605,345.4651589531435,350.2954638057707,2380700
2024-04-19,345.2544860839844,351.3776847678423,342.8013267119976,348.7882239099497,2929600
2024-04-22,348.1261901855469,352.39978191122776,343.872087074359,346.6562554957618,2085400
2024-04-23,353.61663818359375,355.8264272647454,349.51829537526237,350.45282793143497,1810700
2024-04-24,353.8794860839844,358.4061924540831,349.3820126377048,354.29810511806585,3032700
2024-04-25,329.0362854003906,332.8717995062746,321.55996509878923,321.67677796158677,6459600
2024-04-26,334.2736511230469,336.3374244881476,329.3575580631704,329.46465633836453,3324600
2024-04-29,340.52337646484375,341.6429025087536,334.8577440397297,334.8577440397297,2171400
2024-04-30,325.6972351074219,338.5471542442478,324.2856771184703,337.8170441896013,4201700
2024-05-01,322.2900695800781,329.5230197219856,321.9688045047305,324.53880627448945,3520600
2024-05-02,326.5441589355469,327.24506577830823,320.5183148909295,324.6750641187652,2492000
2024-05-03,327.8194580078125,332.5505575293422,326.0964087453279,329.12391791343913,1977100
2024-05-06,333.027587890625,333.4656361629427,330.69124131348826,331.8301965297728,1653900
2024-05-07,335.8506164550781,339.29674414223246,334.293042437114,335.3346732181294,1965600
2024-05-08,335.3639221191406,337.0869713433287,329.75666677387346,330.983261307715,2260300
2024-05-09,342.45086669921875,343.52170087066264,336.26926143103935,336.746286935017,3208900
2024-05-10,345.38104248046875,348.0289097668319,344.14470363464653,345.5854650006077,2210600
2024-05-13,347.2208557128906,349.0412586457767,344.9721191830604,345.3907084729025,2051200
2024-05-14,348.6811218261719,351.04667152058977,347.5616255669758,348.2333292641449,1563400
2024-05-15,350.4918212890625,353.6750908640994,348.6227262240286,351.8838908520818,1913900
2024-05-16,341.4189758300781,349.2554795314752,340.3383973632725,347.28906022879653,2821700
2024-05-17,346.82177734375,346.95807883060746,342.23669395728103,343.60930459313,2104300
2024-05-20,353.12994384765625,354.76538345968413,345.36156112813666,346.9483386132889,2247900
2024-05-21,349.5475158691406,353.6069113567335,348.0191449417925,352.65291984682017,1841100
2024-05-22,346.50054931640625,349.6741043167377,343.21018144386164,348.99265628448273,2104200
2024-05-23,341.3995056152344,351.75731911848834,339.54015493582096,350.8422453870858,2749200
2024-05-24,339.6472473144531,344.52439278788614,337.48612000910197,343.28808358708625,2635200
2024-05-28,337.2816467285156,339.96846127366234,335.2665358196556,338.77107007240033,2264900
2024-05-29,329.1434020996094,336.15247197525014,328.76376023998654,335.8506954661298,3040000
2024-05-30,330.2531433105469,335.4125762600987,329.49382997630613,329.49382997630613,2745800
2024-05-31,329.54248046875,331.84965331467504,326.1742475622404,330.34074129941155,8319400
2024-06-03,322.5723876953125,332.34613730898633,317.11117798446196,331.8301939867049,3878600
2024-06-04,318.8829040527344,321.5696891004001,315.8943128230096,319.99265599001313,3706600
2024-06-05,320.7130126953125,322.4847237988668,318.035942571673,320.74221590833116,2616300
2024-06-06,319.5837707519531,322.2510965557638,318.41558282027887,321.46258009977225,2452100
2024-06-07,320.2165832519531,324.0520976631753,315.1350153579347,317.5492569782155,2499100
2024-06-10,320.8687744140625,323.1077965591226,319.72981928784924,319.99264823045473,2640500
2024-06-11,318.6297607421875,319.9245058776277,315.1447151478285,319.0678386589238,3247000
2024-06-12,320.0121154785156,326.2813295328629,317.3545041810464,324.3148807697467,4817300
2024-06-13,317.7049865722656,319.19443981113375,312.925224892006,318.8147682698713,3183900
2024-06-14,312.94464111328125,314.1225436865282,307.4736878413485,312.86677577885973,4195300
2024-06-17,313.8500061035156,315.25181994836805,310.4233665429084,312.94467666029027,3198900
2024-06-18,316.517333984375,316.96512651207837,312.48711211028,314.4827344320437,3275300
2024-06-20,320.40155029296875,322.31930751907475,315.9721974569073,316.43947865854653,4463300
2024-06-21,319.145751953125,321.7838750326105,317.5297712219551,321.7644161231719,8265100
2024-06-24,321.2483825683594,324.8210670461286,317.42261350593446,320.625341142206,2447300
2024-06-25,318.7174072265625,320.7325183432829,315.7677634487972,319.3112455888229,2990400
2024-06-26,318.0651550292969,319.01914648780325,315.1933769298955,317.5978738991634,2198600
2024-06-27,318.7757873535156,320.4988661552896,316.0597992463471,317.38371793121354,1995100
2024-06-28,324.2662353515625,325.32732512207707,319.6130015456586,319.79796514593926,8891500
2024-07-01,320.3528137207031,326.3981464464323,316.74121091892334,326.22289745262873,2950200
