ticker,setup_date,close,volume,vol_sma_20
JPM,2026-07-14,342.8900146484375,14537900,11115280.0
CRWD,2026-06-29,185.7274932861328,19759200,14634080.0
UNH,2026-06-26,427.8900146484375,10588200,7534330.0
SNOW,2026-06-26,248.9600067138672,25607000,9275360.0
DDOG,2026-06-26,239.77000427246094,9628000,6049510.0
SMH,2026-06-18,659.8800048828125,11229700,11107890.0
AMD,2026-06-15,547.260009765625,33482400,32145030.0
UNH,2026-06-04,394.21844482421875,12666100,6931005.0
COHR,2026-06-02,426.8900146484375,9124000,6674275.0
AVGO,2026-06-01,459.2431640625,30586000,20503060.0
TWLO,2026-06-01,227.5399932861328,7290700,3076020.0
FLEX,2026-05-29,150.77999877929688,11420200,7331605.0
AVGO,2026-05-29,446.06402587890625,41798400,19567890.0
ORCL,2026-05-28,202.99378967285156,25339900,20187260.0
TSM,2026-05-27,421.7423400878906,14695600,13048150.0
NXPI,2026-05-26,331.5453796386719,4618900,4348870.0
ARM,2026-05-20,256.7300109863281,18297600,12118945.0
MRVL,2026-05-14,182.53497314453125,32661100,26385055.0
AVGO,2026-05-14,439.0950622558594,19733800,19351620.0
MRVL,2026-05-13,177.90611267089844,31862600,25793510.0
UNH,2026-05-12,394.138916015625,9236300,8356850.0
NVDA,2026-05-11,219.18453979492188,160685800,152055250.0
CSCO,2026-05-11,98.3520736694336,31852500,18548040.0
NVDA,2026-05-07,211.2537841796875,168307900,151905275.0
HUT,2026-05-06,108.94000244140625,19778900,5247200.0
GS,2026-05-06,933.2369995117188,2318200,1953355.0
WULF,2026-04-30,21.729999542236328,39766700,34306610.0
DELL,2026-04-13,188.89244079589844,10506700,9023870.0
TGT,2026-03-03,119.66936492919922,15692200,6694300.0
XOM,2026-03-02,153.1802978515625,31493100,22505470.0
XOM,2026-02-27,151.47189331054688,30275100,22413700.0
JNJ,2026-02-27,247.00942993164062,16428600,9615590.0
XOM,2026-02-11,153.4882049560547,23091500,21675345.0
TSM,2026-02-06,347.0570373535156,17025500,15321705.0
SIMO,2026-02-04,127.62020111083984,2091100,945070.0
TGT,2026-02-02,107.41241455078125,10561600,6488125.0
GOOGL,2026-02-02,343.2431945800781,32006100,31079155.0
MRK,2026-02-02,111.73297882080078,18000100,13023015.0
MRK,2026-01-30,108.677734375,19060600,12622630.0
GOOGL,2026-01-29,337.810302734375,39785600,30347005.0
LRCX,2026-01-28,239.12486267089844,15630600,12958890.0
SMH,2026-01-28,416.6300048828125,7641900,6521830.0
WMT,2026-01-06,113.88846588134766,20120800,19330505.0
AMKR,2026-01-05,47.98395919799805,7952900,3374235.0
GS,2026-01-05,939.3348999023438,3742000,2171050.0
GS,2026-01-02,905.5623168945312,2817600,2067490.0
AMKR,2026-01-02,42.789764404296875,4218800,3206095.0
AMAT,2026-01-02,268.20166015625,7553200,6111735.0
AAPL,2025-12-01,282.57501220703125,46587700,46208295.0
AAPL,2025-11-24,275.4083557128906,65585800,51288605.0
DDOG,2025-10-31,162.80999755859375,4038300,3423225.0
CAT,2025-10-29,581.9337768554688,6948500,3249160.0
TSM,2025-10-29,302.7047424316406,16177300,14923960.0
INTC,2025-10-28,41.529998779296875,181256400,125537725.0
LRCX,2025-10-27,156.3445281982422,13313100,12010945.0
TSLA,2025-10-27,452.4200134277344,105867500,90135005.0
MU,2025-10-24,218.8059844970703,25821800,25233750.0
AMKR,2025-10-24,32.60305404663086,3169500,2616160.0
SNOW,2025-10-24,257.94000244140625,5169300,4531935.0
AAPL,2025-10-20,261.5001525878906,90483000,46127420.0
